#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
156,B.J. Stith,ODU,35,34.5,5.9,14.4,0.41,2.1,5.7,0.369,2.9,3.4,0.847,1.8,1.8,1.4,6.1,7.5,1,0.9,0.3,16.8
157,Kevin McClain,BEL,33,33.4,5.6,12.1,0.464,2.1,5.8,0.366,3.4,4.9,0.702,2.2,1.8,0.5,3.2,3.6,3.9,1.2,0.2,16.8
158,Tayler Persons,BSU,33,32,6,13.7,0.441,1.4,4.2,0.321,3.3,4.1,0.8,3.2,2.1,0.4,3.6,4,4.3,1.1,0.1,16.7
159,Akwasi Yeboah,SB,32,31.8,5.7,13.8,0.413,2.1,6.5,0.316,3.2,4.1,0.785,2.6,2.6,1.6,6,7.7,1.4,0.9,0.5,16.7
160,Milik Yarbrough,ISU,33,29.3,6.1,13.3,0.461,1,2.9,0.34,3.4,4.4,0.779,4,2.6,1,5.9,6.9,3.1,0.7,0.5,16.7
161,Nick Garth,LU,31,31.1,5.4,12.7,0.424,2.6,7.1,0.373,3.2,3.8,0.84,1.5,2.3,0.4,2,2.4,2.4,1.2,0.1,16.6
162,Amir Coffey,U of M,36,35.2,5.5,12.6,0.436,1.1,3.8,0.304,4.5,6.1,0.74,2.3,1.5,0.7,2.9,3.6,3.2,0.9,0.2,16.6
163,Darnell Edge,FDU,35,37,5.4,11.5,0.473,2.6,5.5,0.477,3.1,3.5,0.887,2,1.9,0.4,3.1,3.5,2.4,1.3,0,16.6
164,Damani Applewhite,SCSU,34,34,5.8,11.5,0.506,0.1,0.5,0.25,4.9,6.9,0.705,1.6,1.8,2.4,5,7.4,1.1,0.4,0.3,16.6
165,Ahmad Caver,ODU,35,37.6,5.6,14.7,0.381,2,6.6,0.303,3.4,4.9,0.692,2.2,2,0.5,3.8,4.3,5.5,1.4,0.3,16.6
166,J.R. Lynch,UHA,33,38,5.3,11.8,0.452,2.1,5.3,0.397,3.8,4.5,0.84,2,2.4,0.6,3.1,3.7,3.8,2.1,0.1,16.6
167,Seth Dugan,WMY,32,33.3,6.5,11.6,0.562,0.1,0.5,0.133,3.4,5.3,0.643,2.1,2.2,3.4,6.5,9.9,1.7,0.3,0.9,16.6
168,Shawn Roundtree,CMU,34,34.4,4.9,10.7,0.459,2.2,5.2,0.427,4.5,5.7,0.789,2.3,1.9,0.3,2.4,2.7,3.1,0.9,0.1,16.6
169,Eric Paschall,VILL,36,36.1,5.4,12.1,0.447,1.9,5.6,0.348,3.8,5,0.746,2.3,2.1,1.3,4.9,6.1,2.1,0.7,0.5,16.5
170,Armon Fletcher,SIU,23,33.1,5.9,11.4,0.513,1.7,4,0.418,3.1,4.2,0.742,2,2.1,1.9,4.2,6.1,1.5,1.4,0.3,16.5
171,Max Mahoney,BU,32,27,6.9,11,0.629,0,0,0,2.6,4.1,0.636,1.9,3.2,2.5,4,6.6,1.7,0.8,0.7,16.5
172,Romeo Langford,IU,32,34.1,5.5,12.3,0.448,1.1,3.9,0.272,4.4,6.1,0.722,2.1,1.9,1.4,4,5.4,2.3,0.8,0.8,16.5
173,Admiral Schofield,UT,37,31.8,6.4,13.6,0.474,2,4.8,0.418,1.6,2.3,0.698,1.9,2.5,1.2,5,6.1,2,0.9,0.5,16.5
174,Tyler Seibring,ELON,32,32.6,6,12.4,0.482,2.4,5.8,0.412,2.1,2.7,0.8,0.9,1.6,1.4,4.5,5.9,1.5,0.4,0.5,16.5
175,Romone Saunders,WC,30,34.6,4.8,12.9,0.37,2.1,6.6,0.322,4.8,5.7,0.842,2.8,2.9,2.2,5.1,7.2,3.6,1.5,0.3,16.5
176,Jason Carter,OU,31,31,5.8,12.1,0.481,0.7,2.2,0.343,4.1,5.7,0.718,1.8,2.5,2.1,4.6,6.7,2,0.6,0.7,16.5
177,Nijal Pearson,TSU,33,33.2,5.8,13.8,0.421,2.4,6.3,0.386,2.4,3.4,0.69,1.8,1.8,1.5,3.6,5.1,1.4,1.4,0.2,16.4
178,Matt Lewis,JMU,33,36.3,5.1,13.2,0.385,1.8,5.6,0.326,4.4,5.5,0.811,2.6,2,0.9,3.2,4.2,3,0.9,0.4,16.4
179,Stuckey Mosley,JMU,33,35.1,5.9,14.8,0.398,2.9,7.8,0.367,1.8,2.5,0.716,1.7,2.2,0.7,3.1,3.8,2.3,1.1,0.1,16.4
180,James Batemon III,LMU,34,35.3,5.1,12.1,0.421,1.3,4.4,0.285,4.9,5.9,0.822,3,2.3,0.6,2.5,3.1,3.6,1.6,0,16.4
181,Josh Ajayi,USA,33,31.2,6,10.7,0.56,0.5,1.1,0.444,3.9,5.6,0.703,2.6,2.7,2.2,5.2,7.4,1.6,0.7,0.9,16.4
182,Josh Sharkey,SU,33,35.4,5.3,11.9,0.444,0.9,2.9,0.309,4.8,6.4,0.75,5,2.6,0.6,3.3,3.8,7.2,2.6,0.1,16.3
183,Jordan Burns,CU,30,32.9,5.6,12.7,0.438,2.6,6.6,0.394,2.6,3.2,0.821,3.1,1.7,0.4,2.6,3,5.7,1.2,0.1,16.3
184,Quinton Rose,TEM,33,34.6,6.2,15.2,0.408,1.2,4.5,0.275,2.7,3.9,0.685,2.5,2,0.5,3.3,3.8,2.5,2.2,0.2,16.3
185,Jayden Gardner,ECU,31,30.6,5.4,10.9,0.493,0.1,0.3,0.2,5.5,7.4,0.75,2.4,2.8,3,5.5,8.5,1.3,0.8,0.5,16.3
186,Justin Forrest,ASU,30,29,5,12.3,0.407,2.1,5.9,0.362,4.1,5.7,0.724,2.7,1.9,0.5,2.8,3.3,2.5,1.2,0,16.2
187,Darius Garland,VU,5,27.8,5.8,10.8,0.537,2.2,4.6,0.478,2.4,3.2,0.75,3,1.4,0.4,3.4,3.8,2.6,0.8,0.4,16.2
188,Jacob Gilyard,RICH,31,37.3,5.7,12.1,0.472,2.4,6.6,0.363,2.4,3.1,0.771,2.4,1.7,0.6,2.3,2.9,5.2,2.8,0,16.2
189,Nike Sibande,MU,32,30,5.2,13.1,0.395,2.4,7.2,0.329,3.4,4.9,0.696,2,1.9,0.9,4.2,5.1,1.2,0.8,0.4,16.2
190,Nickeil Alexander-Walker,VT,34,34.3,5.6,11.8,0.474,1.7,4.6,0.374,3.3,4.2,0.778,2.9,2.3,0.5,3.6,4.1,4,1.9,0.5,16.2
191,Jaylen Nowell,UW,36,34.4,6.1,12.1,0.502,1.4,3.2,0.44,2.6,3.4,0.779,2.9,2.2,1,4.3,5.3,3.1,1.3,0.2,16.2
192,Chris Lykes,UM,32,33.8,5.3,13.2,0.406,1.9,6,0.318,3.6,4.6,0.781,2.9,2.2,0.4,2.2,2.7,3.2,1.3,0,16.2
193,Jordan Lyons,FU,33,32.8,5.6,14.2,0.396,3.2,9.2,0.347,1.8,2.3,0.763,2.3,1.2,0.4,1.8,2.2,2.3,1.2,0.1,16.2
194,Luguentz Dort,ASU,34,31.5,5.1,12.6,0.405,1.6,5.2,0.307,4.3,6.1,0.7,2.9,3,1.3,3,4.3,2.3,1.5,0.2,16.1
195,Stevie Thompson,OSU,31,36.6,5.9,13.8,0.428,2,6.4,0.308,2.3,3,0.755,2,1.9,0.9,3.3,4.2,3.2,1.5,0.1,16.1
196,DeVon Baker,UNCA,31,33.9,5.9,14.8,0.397,1.2,3.8,0.303,3.2,3.9,0.817,2.9,1.8,1,1.7,2.7,3,1.5,0.2,16.1
197,Nico Carvacho,CSU,32,31.9,6.8,11.4,0.592,0,0.1,0,2.6,5.2,0.491,2.1,2.8,3.9,9,12.9,2.1,0.6,0.6,16.1
198,Coby White,UNC,35,28.5,5.4,12.7,0.423,2.3,6.6,0.353,3,3.7,0.8,2.7,1.9,0.3,3.2,3.5,4.1,1.1,0.3,16.1
199,Luwane Pipkins,UMass,25,31.2,5,14.4,0.347,1.9,6.8,0.281,4.1,5.1,0.805,3,2.4,0.4,4.4,4.9,5.2,1.2,0.1,16
200,Kevin Larkin,DESU,26,33.5,6.2,15.7,0.394,1.7,5.6,0.295,2,2.7,0.754,1.8,1.6,2.5,6.3,8.8,1.7,1.5,0.2,16
201,Keith Braxton,SFU,33,34.2,5.5,12.1,0.457,1.2,3.7,0.339,3.7,4.8,0.769,2.4,1.7,1.7,8.1,9.8,3.8,1.5,0.3,16
202,Noah Horchler,UNF,28,31.2,6.9,12.8,0.538,0.8,2.5,0.296,1.5,3,0.512,2.1,2.6,2.5,6.9,9.3,1.3,0.9,1.7,16
203,Steven Santa Ana,ELON,31,31.5,5.4,11.7,0.46,2.3,6.3,0.366,2.9,4.2,0.705,2.4,2.3,0.8,5.5,6.3,2.7,0.8,0.1,16
204,Cameron Healy,ALB,32,34.5,5.2,12.2,0.423,3.2,7.8,0.416,2.4,2.7,0.884,2.2,1.7,0.3,3.4,3.8,2.4,0.7,0.1,16
205,Alpha Diallo,PROV,34,35.4,5.2,12.3,0.42,1.2,3.5,0.333,4.4,6.6,0.674,2.7,2.6,2.6,5.5,8.1,3.1,1.6,0.5,16
206,Devin Watson,SDSU,34,34,4.9,12.4,0.399,2.6,6.9,0.382,3.5,4.6,0.747,2.6,1.3,0.4,2.7,3.1,4.2,0.9,0,16
207,Rapolas Ivanauskas,CU,35,30.2,5.9,11.4,0.517,1.2,2.8,0.434,2.9,3.7,0.777,2.5,2.9,1.8,5.9,7.8,1.6,0.5,0.6,15.9
208,B.J. Taylor,UCF,33,34.4,4.2,11,0.384,1.8,5,0.372,5.7,7.3,0.779,1.6,1.4,0.3,2,2.3,3.2,0.9,0,15.9
209,Marlain Veal,SELU,33,31.2,4.5,11.8,0.379,2.1,6,0.352,4.8,5.9,0.825,4.5,2.5,0.8,2.7,3.4,4.5,1.8,0.1,15.9
210,Bryce Brown,AU,40,32,5.1,11.7,0.437,3.5,8.6,0.41,2.2,2.7,0.807,1.6,1.4,0.5,1.6,2.1,1.9,1.1,0.1,15.9
211,Jalen McDaniels,SDSU,34,31.1,6.2,13.4,0.466,0.7,2.2,0.32,2.7,3.7,0.732,2.4,2.9,2,6.3,8.3,2.1,1.1,0.5,15.9
212,Phil Fayne,ISU,33,28.9,6,11.1,0.542,0,0,0,3.8,5.8,0.653,1.7,3.3,3,3.3,6.3,0.8,1.1,1.2,15.9
213,Evan Fisher,SC,31,33.3,6.6,13.5,0.488,0.5,2.1,0.231,2.2,3,0.72,1.7,1.6,1.1,4.9,6,1.5,0.2,0.5,15.9
214,David Collins,USF,37,33.6,4.5,11.3,0.4,1.3,4.1,0.313,5.6,7.9,0.703,3.2,3.2,0.6,3.1,3.8,3.1,2.1,0.3,15.9
215,Adam Flagler,PC,36,30.7,5.4,12.4,0.438,3,7.8,0.386,2,2.4,0.835,1.2,1.7,0.8,2.6,3.4,1.2,0.8,0.2,15.9
216,Rickey McGill,IC,33,37.2,5.2,11.1,0.473,1.4,4.1,0.351,3.9,5.2,0.76,2.8,2.5,0.9,3.5,4.5,4.8,2.4,0.3,15.8
217,Nate Sestina,BU,31,27.8,6,11.1,0.536,1.3,3.5,0.38,2.6,3.2,0.808,2.1,2.9,2,6.5,8.5,1.2,0.4,1.1,15.8
218,Darius Roy,UWM,29,35,5.7,12.6,0.449,1.6,3.8,0.405,3,3.5,0.843,3.2,2.6,0.4,3.6,4.1,4.1,1.2,0.2,15.8
219,Malik Moore,USCU,28,28.9,5.6,12.1,0.459,1.6,5.3,0.297,3.1,4.4,0.702,2.4,2.8,1.8,5.1,6.9,2.2,1.4,0.7,15.8
220,Eric Carter,UD,32,32,5.9,10.2,0.579,0.1,0.2,0.4,3.9,5.2,0.738,2.3,2.8,2.2,7.5,9.7,2.3,0.7,0.6,15.8
221,Jalen Pickett,SC,33,37.1,5.6,12.8,0.436,2,5.7,0.348,2.7,3.6,0.746,2.4,2.3,1.3,3.3,4.6,6.7,2,0.9,15.8
222,Troy Harper,DREX,28,30.1,4.6,11.9,0.389,0.8,3.3,0.247,5.7,7.3,0.776,2.6,2.4,0.4,2.8,3.2,2.3,0.6,0.1,15.8
223,Kalin Fisher,HU,35,34.7,5.2,13,0.4,1.6,5.1,0.311,3.8,4.7,0.806,2.1,2.5,0.4,4.3,4.7,3.2,1.9,0.2,15.8
224,Jordan Walker,MSU,33,33,5.1,12.1,0.421,2.2,5.5,0.398,3.4,4.3,0.789,2.3,2.5,0.9,2.6,3.5,2.6,1.2,0.1,15.8
225,Mike Smith,COM,8,31.8,5.5,13.2,0.415,1.1,4.5,0.25,3.6,4.2,0.853,2.2,1.5,0.2,2.2,2.5,5,2.2,0,15.8
226,Carlik Jones,RU,31,34.2,5.9,12.7,0.463,0.7,2.9,0.247,3.2,4.3,0.758,2.7,1.8,0.5,4.6,5.2,5.8,1.7,0.1,15.7
227,Ty-Shon Alexander,CU,34,32.9,5.2,12.7,0.406,2.9,7.8,0.365,2.5,3.1,0.794,2,2.1,0.5,3.5,4,2.7,1.2,0.3,15.7
228,Desmond Cambridge,BU,30,28.7,5.4,14.5,0.372,2.5,8,0.318,2.4,3.1,0.772,1.7,2.4,0.5,3.3,3.8,0.9,1,1.7,15.7
229,Marvin Prochet,NU,29,32.2,5.2,12.3,0.421,2.6,6.1,0.421,2.8,4,0.696,1.7,1.8,1.7,5.6,7.3,1.7,0.7,0.8,15.7
230,Ahmad Clark,ALB,32,30.8,4.9,13.2,0.371,1.8,5.8,0.314,4.1,5.2,0.783,3.6,2.9,0.5,3.8,4.2,4.3,2,0.4,15.7
231,Jake Toolson,UVU,35,33.3,5.4,10,0.537,2,4.4,0.448,2.9,3.5,0.851,2.4,1.7,0.9,3.6,4.5,2.3,0.5,0.2,15.7
232,Michael Flowers,WMY,32,31.3,4.7,12.2,0.387,2,6.1,0.332,4.2,5.3,0.784,3.1,2.4,0.3,3.6,3.9,3.2,0.9,0.1,15.7
233,Jarkel Joiner,CSUB,34,32.2,6.1,13.6,0.451,1.5,4,0.37,1.9,2.7,0.71,1.3,2.1,1.2,2.4,3.6,1.4,1.1,0.1,15.6
234,Aubrey Dawkins,UCF,33,33.4,5.5,11.8,0.463,2.2,5.5,0.403,2.5,2.9,0.835,1.6,2.2,1,4,5,1.4,1,0.3,15.6
235,Anthony Cowan,UMD,34,34.6,4.9,12.6,0.393,2.1,6.1,0.337,3.7,4.6,0.806,2.8,2.3,0.4,3.3,3.7,4.4,0.9,0.2,15.6
236,J.D. Paige,CSU,31,33.9,5.5,12.1,0.457,2.1,5.4,0.389,2.4,3,0.806,1.6,1.7,0.4,3.1,3.5,3.1,1.3,0.2,15.6
237,Justin Ravenel,FAMU,31,35.3,5.1,11,0.459,3.4,7.2,0.464,2.1,2.5,0.857,1.3,1.8,0.3,1.9,2.3,1.3,0.8,0.1,15.6
238,Adam Grant,BU,30,35.5,5.4,13.1,0.412,2.7,6.9,0.386,2.1,2.7,0.79,1.9,2.2,0.8,2.1,2.9,1.5,1.1,0.1,15.6
239,Gary Blackston,PVAMU,34,31.3,5.2,12.1,0.429,1.4,4.2,0.343,3.8,5.7,0.656,2,2.7,1.7,5.2,7,1.9,1.7,0.2,15.6
240,Jaelan Sanford,U of T,33,33.5,5.8,13.7,0.425,1.6,5.1,0.321,2.3,2.7,0.843,1.8,1.7,0.9,3.3,4.2,3.2,0.4,0.2,15.5
241,Anthony Adger,FAU,33,32.4,4.7,12.8,0.364,2.8,8.2,0.343,3.4,4.1,0.824,2.1,1.6,0.6,3.6,4.2,2.6,1,0.1,15.5
242,Juwan Morgan,IU,35,29.8,6.1,11,0.558,0.7,2.5,0.295,2.5,3.9,0.647,1.9,2.9,2.5,5.7,8.2,1.9,1.2,1.5,15.5
243,Mike Ertel,ULM,35,36.3,5.5,12.5,0.438,2.3,5.1,0.444,2.3,2.6,0.901,1.3,1.6,0.4,2.7,3,2.8,0.7,0.1,15.5
244,J.D. Notae,JAC,32,29.2,5.5,13,0.427,1.9,6.1,0.32,2.5,3.5,0.73,3.3,2.4,0.9,5.2,6.2,3.4,1.6,0.4,15.5
245,Jamaal King,SFU,33,32.1,5.3,12.2,0.437,1.6,4.5,0.365,3.2,4.3,0.752,2.6,2.3,0.3,2,2.3,4.1,1.5,0,15.5
246,Xavier Johnson,PITT,33,31.1,4.8,11.6,0.415,1.1,3.2,0.352,4.8,6.3,0.751,4,2.7,1.2,2.7,3.9,4.5,1.3,0.1,15.5
247,Josiah Wallace,EIU,32,32.7,5.4,13.2,0.411,1.9,5.4,0.353,2.8,3.5,0.802,2.5,1.5,0.6,3.3,3.9,2.9,0.8,0.2,15.5
248,Daquan Bracey,LTU,31,31.1,5.6,13.2,0.426,1.5,4.9,0.311,2.7,4.4,0.63,2.2,2,0.9,2.3,3.2,4,1.3,0.1,15.5
249,Tarkus Ferguson,UIC,32,36.5,5.1,12.4,0.41,3.1,8.5,0.368,2.2,2.9,0.75,3.2,2.2,0.4,6.3,6.8,5.2,1.5,0.8,15.5
250,Skyler Flatten,SDSU,33,36.5,5.6,10.8,0.517,2.5,5.8,0.44,1.7,2.5,0.683,1.3,1.6,0.3,3.5,3.8,2.2,1.2,0.4,15.5
251,Kyle Guy,UVA,38,35.4,5.2,11.6,0.449,3.2,7.4,0.426,1.8,2.2,0.833,1.4,1,0.7,3.8,4.5,2.1,0.7,0.1,15.4
252,Xavier Bishop,UMKC,31,33.8,5.2,12.2,0.427,2,5.6,0.353,3,3.8,0.797,2.8,2.5,0.5,2.2,2.7,3.8,1.1,0,15.4
253,Chris Knight,DART,30,28.1,6.4,12.8,0.499,0.3,0.9,0.286,2.3,3.7,0.627,3,3,2.2,4.6,6.8,2.3,0.6,1.2,15.4
254,Brian Warren,UTA,33,29.9,5.3,13.4,0.397,1.6,5.2,0.304,3.1,3.9,0.805,2.2,3,0.5,2.2,2.6,3.6,1.2,0.1,15.4
255,Lavelle Scottie,AF,32,31.4,6.3,13,0.487,1,3.5,0.297,1.7,2.8,0.607,3,2.1,1.3,4.2,5.6,1.3,0.7,0.2,15.3
256,Jared Harper,AU,40,32.9,4.6,11.5,0.399,2.5,6.6,0.37,3.7,4.5,0.828,2.4,1.8,0.3,2.2,2.5,5.8,1.1,0.1,15.3
257,Jeff Dowtin,URI,33,36.6,5.8,12.1,0.475,1.4,3.9,0.354,2.4,3.2,0.745,1.8,1.5,0.7,2.7,3.4,3.7,1.4,0.5,15.3
258,Devon Andrews,FIU,33,26.2,5.4,11,0.493,1.1,3.1,0.356,3.4,4.7,0.712,1.8,2.5,1.2,3.8,5.1,1.4,1.7,0.5,15.3
259,Nick Honor,FORD,32,36.1,5.4,14.6,0.373,2.2,6.6,0.332,2.2,2.7,0.816,1.7,1.9,0.6,1.8,2.4,3,0.9,0,15.3
260,Tremont Waters,LSU,33,32.4,5.2,12.1,0.43,1.7,5.2,0.327,3.2,3.9,0.812,3.5,1.9,0.3,2.5,2.8,5.8,2.9,0.1,15.3
261,Marques Townes,L-IL,34,33.7,5.6,12.1,0.466,1.1,3.3,0.345,2.8,3.7,0.762,2.2,1.4,0.5,4.5,5,3.6,1.1,0.2,15.3
262,Javon Bess,SLU,36,36.7,4.8,12.1,0.394,1.8,5.6,0.325,3.9,4.9,0.79,1.2,2.3,1.1,5.7,6.8,1.8,1.4,0.2,15.2
263,Courtney Stockard,STBN,28,33.8,5.2,13,0.403,1.4,4.8,0.301,3.3,4.3,0.769,3.4,2.7,0.4,5.2,5.6,3.6,1.2,0.4,15.2
264,De'Andre Hunter,UVA,38,32.5,5.4,10.4,0.52,1.2,2.8,0.438,3.2,4.1,0.783,1.4,2,1.4,3.7,5.1,2,0.6,0.6,15.2
265,Malik Fitts,SMC,34,30.7,5.4,11.3,0.475,1.7,4.2,0.406,2.8,3.6,0.77,1.6,2.8,1.8,5.8,7.6,0.9,1.1,0.2,15.2
266,Jordan Heading,CBU,31,32.4,5.6,12.3,0.461,1.9,5.4,0.361,2,2.4,0.827,2.8,2.3,0.5,3.4,3.9,2.6,0.6,0,15.2
267,Roberto Gallinat,PAC,32,27.7,3.9,9,0.434,1.8,4.8,0.382,5.6,6.5,0.856,1.6,2.6,0.5,2.5,3.1,0.6,0.4,0.2,15.2
268,Desmond Bane,TCU,37,35.5,5.8,11.6,0.502,1.8,4.3,0.425,1.8,2,0.867,1.3,2.3,1.3,4.4,5.7,2.4,1.1,0.5,15.2
269,Kason Harrell,IPFW,33,30.2,5.9,11.8,0.504,1.8,4.4,0.397,1.6,2.3,0.675,1.5,2.1,0.8,2.7,3.5,1.8,1.1,0.8,15.2
270,Travis Munnings,ULM,35,36.4,5.3,11.6,0.454,2.1,5.4,0.381,2.6,3.5,0.748,2.7,2.9,2.2,5.6,7.8,2.6,0.7,0.2,15.2
271,Isaiah Miller,UNCG,36,27.8,6.4,12.4,0.513,0.6,2.2,0.282,1.8,3.2,0.556,1.7,2,1.5,3,4.5,2.1,2.9,0.3,15.2
272,Nick McGlynn,DU,32,28.9,5.8,10.7,0.54,0.5,2.1,0.235,3.2,4.2,0.756,1.8,2.2,1.8,6.4,8.3,1.4,0.5,1.7,15.2
273,Chris Silva,USC,32,26.8,4.7,9.2,0.508,0.7,1.4,0.5,5.1,6.8,0.744,2.3,3.6,2.7,5,7.6,0.9,0.9,1.9,15.2
274,Terence Davis,UM,33,31,5.4,12.2,0.444,2,5.3,0.371,2.4,3.1,0.772,2.8,2.7,1.1,4.7,5.8,3.5,1.6,0.6,15.2
275,T.J. Shorts II,UCD,29,33.1,5.6,11.3,0.497,0.4,1.5,0.279,3.5,4.9,0.718,3,2.5,0.6,4.1,4.7,4.3,1.6,0.2,15.2
276,P.J. Washington,UK,35,29.3,5.4,10.4,0.522,0.9,2.2,0.423,3.4,5.1,0.663,2,2.5,2.3,5.2,7.5,1.8,0.9,1.2,15.2
277,Jose Perez,GWU,35,31.5,5,11.2,0.449,1.5,4,0.381,3.6,5.1,0.704,2,1.8,1,4.7,5.7,3,0.8,0.2,15.2
278,Sayeed Pridgett,UM,35,29.9,6.6,10.9,0.605,0.6,1.2,0.476,1.4,2.5,0.57,2.4,2.8,1.3,3.5,4.9,2.2,1.3,0.5,15.2
279,Devontae Cacok,UNCW,33,28.8,6.2,10.5,0.588,0,0.1,0.5,2.8,4.7,0.6,2.2,3.5,4,8.3,12.3,0.6,0.9,0.7,15.2
280,Sebastian Townes,BU,30,29.1,5.3,11.5,0.462,1,2.8,0.345,3.6,5.4,0.656,2.2,2.9,1.8,3.1,4.9,1.2,0.4,0.2,15.1
281,Loudon Love,WRST,34,27,6.1,12.4,0.498,0,0,0,2.8,4.5,0.625,2.4,2.7,3.5,4.7,8.2,1,0.6,0.9,15.1
282,Holland Woods,PSU,31,35.6,4.8,12.1,0.398,1.2,4.3,0.286,4.2,5.4,0.778,3.5,2.2,0.4,2.6,3,5.3,1.6,0.1,15
283,Tahj Eaddy,SCU,31,35.5,4.9,12.2,0.401,2.5,6.5,0.379,2.7,3.4,0.802,2,2,0.3,2.4,2.7,3.2,0.9,0,15
284,Elijah Pemberton,HOF,34,35.4,4.5,10,0.449,1.3,3.6,0.35,4.7,6.2,0.767,1.7,2.3,1.3,3.5,4.8,2.3,0.9,0.1,15
285,Vic Law,NU,30,33.4,5,12.7,0.396,1.9,5.6,0.335,3.1,3.9,0.786,2.2,2.9,1,5.3,6.4,3,1,1,15
286,Pookie Powell,LU,26,32.1,5,12.5,0.397,1.8,5.4,0.333,3.3,3.8,0.85,2.5,1.8,0.4,3.2,3.7,2.7,1.4,0.2,15
